thread-0 started executing at 2025-02-01T19:44:23.017838100Z with 57 queries.
1: SELECT p.flightid, p.altitude, p.airplanetype, p.timestamp FROM flightpoints p JOIN cities c ON ST_DWithin(p.geom, c.geom, 65)   WHERE p.altitude <= 950 AND c.population >= 200000;

flightid	altitude	airplanetype	timestamp	
740027491	940.1	PA44	2023-08-11 09:06:49	
727869010	869	P46T	2023-06-25 08:54:27	
698221110	857.5	E190	2023-02-14 20:46:42	
701683590	513.1	DA40	2023-03-06 11:29:02	
730129950	662.4	C172	2023-07-04 08:41:47	
691893930	244.1	EC35	2023-01-02 20:42:01	
745934810	871.2	A320	2023-09-03 07:37:40	
726568150	699.6	P46T	2023-06-20 07:17:11	
692627920	776.5	P28A	2023-01-07 16:13:18	
706455870	579.8	C172	2023-03-29 14:52:12	
757359530	700.7	P28A	2023-09-19 09:27:18	
692763130	648.6	PA44	2023-01-08 17:04:19	
718904360	382.3	M20P	2023-05-23 14:58:14	
763048000	697.3	PA44	2023-10-30 16:25:59	
706424060	548	PA44	2023-03-29 12:08:19	
712821590	640.3	A321	2023-04-30 08:48:09	
713484680	622.6	P28A	2023-05-02 16:59:37	
733528530	482.5	PA44	2023-07-17 10:14:12	
733883220	518.1	PA44	2023-07-18 15:38:19	
715713131	920.4	C172	2023-05-10 17:24:31	
722614970	424.5	SW4	2023-06-05 15:41:20	
693416110	816.4	P46T	2023-01-13 16:41:48	
729670011	945.8	SR20	2023-07-02 11:38:44	
727596640	308.1	C172	2023-06-24 11:01:03	
767466890	492.2	DA40	2023-11-22 10:59:55	
714041940	343.5	LJ35	2023-05-03 11:39:28	
728456690	517.7	M20P	2023-06-27 10:53:59	
740792020	415.4	PA44	2023-08-13 17:08:39	
714172120	859.1	A320	2023-05-03 19:43:14	
741323230	870.9	A320	2023-08-15 20:24:22	
733899670	284.5	EVOT	2023-07-18 15:52:32	
709735390	71.6	B738	2023-04-14 18:59:18	
694892570	639.3	P28A	2023-01-03 16:56:41	
764511711	938.6	A319	2023-11-07 10:23:35	
726855520	465.5	PA44	2023-06-21 11:08:18	
706231990	404.1	P28A	2023-03-28 13:49:32	
768019420	484.6	BE33	2023-11-25 11:18:33	
723398031	916.4	B738	2023-06-08 17:28:06	
771298150	895.5	A20N	2023-12-14 10:37:46	
707789400	673.2	TBM8	2023-04-05 13:22:46	
705929730	134.5	A320	2023-03-26 14:06:11	
710086830	360.3	DA40	2023-04-16 18:17:24	

2: WITH hourly_flights AS ( SELECT generate_series( DATE '2023-05-04'::timestamp, DATE '2023-05-04' + INTERVAL '1 day' - INTERVAL '1 second', INTERVAL '1 hour' ) AS start_time ), filtered_flights AS ( SELECT f.flightid, g.name AS municipality_name, g.geom as polygon, attime(f.trip, span('2023-05-04'::timestamp, '2023-05-04'::timestamp + INTERVAL '1 day')) AS daily_trip FROM flights f JOIN municipalities g ON f.trip && stbox(g.geom, span('2023-05-04'::timestamp, '2023-05-04'::timestamp + INTERVAL '1 day')) WHERE g.name = 'Gem Marsberg' ) SELECT h.start_time, COUNT(f.flightid) AS active_flights FROM hourly_flights h LEFT JOIN filtered_flights f ON eintersects(attime(f.daily_trip, span(h.start_time, h.start_time + INTERVAL '1 hour' - INTERVAL '1 second')), polygon) WHERE f.municipality_name = 'Gem Marsberg' GROUP BY h.start_time ORDER BY h.start_time;

start_time	active_flights	
2023-05-04 00:00:00	2	
2023-05-04 01:00:00	3	
2023-05-04 02:00:00	1	
2023-05-04 03:00:00	2	
2023-05-04 04:00:00	2	
2023-05-04 05:00:00	7	
2023-05-04 06:00:00	7	
2023-05-04 07:00:00	8	
2023-05-04 08:00:00	11	
2023-05-04 09:00:00	6	
2023-05-04 10:00:00	6	
2023-05-04 11:00:00	7	
2023-05-04 12:00:00	6	
2023-05-04 13:00:00	5	
2023-05-04 14:00:00	4	
2023-05-04 15:00:00	6	
2023-05-04 16:00:00	8	
2023-05-04 17:00:00	4	
2023-05-04 18:00:00	5	
2023-05-04 19:00:00	5	
2023-05-04 20:00:00	6	
2023-05-04 21:00:00	7	
2023-05-04 22:00:00	3	

3: WITH relevant_airports AS ( SELECT a.icao as icao FROM airports a JOIN cities c ON a.city = c.name ), airport_city_mapping AS ( SELECT a.icao, COALESCE(c.name, 'abroad') AS city_name FROM airports a LEFT JOIN cities c ON a.city = c.name ) SELECT f.flightid, f.origin AS origin_airport, acm1.city_name AS origin_city, f.destination AS destination_airport, acm2.city_name AS destination_city FROM flights f JOIN counties k ON k.name = 'Krs Duesseldorf' LEFT JOIN airport_city_mapping acm1 ON f.origin = acm1.icao LEFT JOIN airport_city_mapping acm2 ON f.destination = acm2.icao WHERE (f.origin IN (SELECT icao FROM relevant_airports) OR f.destination IN (SELECT icao FROM relevant_airports)) AND f.trip && stbox(k.geom, tstzspan'[2023-06-08 13:09:05, 2023-06-08 19:28:17]') AND eintersects(attime(f.trip, tstzspan'[2023-06-08 13:09:05, 2023-06-08 19:28:17]'), k.geom) ORDER BY origin_airport, destination_airport, f.flightid;

flightid	origin_airport	origin_city	destination_airport	destination_city	
723300420	EDDB	abroad	EDDL	Duesseldorf	
723300421	EDDB	abroad	EDDL	Duesseldorf	
723336170	EDDB	abroad	EDDL	Duesseldorf	
723336171	EDDB	abroad	EDDL	Duesseldorf	
723376830	EDDB	abroad	EDDL	Duesseldorf	
723299410	EDDF	abroad	EDDL	Duesseldorf	
723299411	EDDF	abroad	EDDL	Duesseldorf	
723385510	EDDH	abroad	EDDL	Duesseldorf	
723305300	EDDL	Duesseldorf	BKPR	abroad	
723324080	EDDL	Duesseldorf	BKPR	abroad	
723332520	EDDL	Duesseldorf	EDDB	abroad	
723368030	EDDL	Duesseldorf	EDDB	abroad	
723340880	EDDL	Duesseldorf	EDDF	abroad	
723392540	EDDL	Duesseldorf	EDDF	abroad	
723342130	EDDL	Duesseldorf	EDDH	abroad	
723394060	EDDL	Duesseldorf	EDDH	abroad	
723318620	EDDL	Duesseldorf	EDDM	abroad	
723356290	EDDL	Duesseldorf	EDDM	abroad	
723396450	EDDL	Duesseldorf	EDDM	abroad	
723325420	EDDL	Duesseldorf	EDXW	abroad	
723402540	EDDL	Duesseldorf	EFHK	abroad	
723397950	EDDL	Duesseldorf	EGBB	abroad	
723401850	EDDL	Duesseldorf	EGLC	abroad	
723355460	EDDL	Duesseldorf	EGLL	abroad	
723322430	EDDL	Duesseldorf	EGPH	abroad	
723331760	EDDL	Duesseldorf	EHAM	abroad	
723386300	EDDL	Duesseldorf	EHAM	abroad	
723299010	EDDL	Duesseldorf	EIDW	abroad	
723400420	EDDL	Duesseldorf	EKCH	abroad	
723298970	EDDL	Duesseldorf	ENGM	abroad	
723379620	EDDL	Duesseldorf	ESSA	abroad	
723300090	EDDL	Duesseldorf	GCLP	abroad	
723303820	EDDL	Duesseldorf	GMAD	abroad	
723320040	EDDL	Duesseldorf	LCLK	abroad	
723332850	EDDL	Duesseldorf	LDSP	abroad	
723399510	EDDL	Duesseldorf	LDSP	abroad	
723380600	EDDL	Duesseldorf	LEBL	abroad	
723297890	EDDL	Duesseldorf	LEJR	abroad	
723354490	EDDL	Duesseldorf	LEMG	abroad	
723371460	EDDL	Duesseldorf	LEMG	abroad	
723356050	EDDL	Duesseldorf	LEPA	abroad	
723362550	EDDL	Duesseldorf	LEPA	abroad	
723365560	EDDL	Duesseldorf	LEPA	abroad	
723375320	EDDL	Duesseldorf	LEPA	abroad	
723338470	EDDL	Duesseldorf	LFPG	abroad	
723370520	EDDL	Duesseldorf	LFPG	abroad	
723304460	EDDL	Duesseldorf	LGIR	abroad	
723357610	EDDL	Duesseldorf	LGIR	abroad	
723363700	EDDL	Duesseldorf	LGIR	abroad	
723306820	EDDL	Duesseldorf	LGKO	abroad	
723367270	EDDL	Duesseldorf	LGKV	abroad	
723306130	EDDL	Duesseldorf	LGTS	abroad	
723355720	EDDL	Duesseldorf	LGZA	abroad	
723395260	EDDL	Duesseldorf	LHBP	abroad	
723399680	EDDL	Duesseldorf	LIMC	abroad	
723386980	EDDL	Duesseldorf	LIML	abroad	
723392660	EDDL	Duesseldorf	LIPX	abroad	
723300410	EDDL	Duesseldorf	LIRF	abroad	
723371410	EDDL	Duesseldorf	LIRF	abroad	
723402370	EDDL	Duesseldorf	LKPR	abroad	
723344840	EDDL	Duesseldorf	LLBG	abroad	
723306080	EDDL	Duesseldorf	LOWW	abroad	
723348990	EDDL	Duesseldorf	LOWW	abroad	
723377650	EDDL	Duesseldorf	LOWW	abroad	
723346950	EDDL	Duesseldorf	LPFR	abroad	
723315360	EDDL	Duesseldorf	LPMA	abroad	
723361100	EDDL	Duesseldorf	LPPR	abroad	
723323650	EDDL	Duesseldorf	LPPT	abroad	
723393180	EDDL	Duesseldorf	LPPT	abroad	
723325980	EDDL	Duesseldorf	LSZH	abroad	
723340510	EDDL	Duesseldorf	LSZH	abroad	
723404340	EDDL	Duesseldorf	LSZH	abroad	
723343850	EDDL	Duesseldorf	LSZR	abroad	
723329000	EDDL	Duesseldorf	LTAI	abroad	
723336440	EDDL	Duesseldorf	LTAI	abroad	
723355390	EDDL	Duesseldorf	LTAI	abroad	
723394620	EDDL	Duesseldorf	LTAI	abroad	
723349640	EDDL	Duesseldorf	LTBJ	abroad	
723402800	EDDL	Duesseldorf	LTBJ	abroad	
723320020	EDDL	Duesseldorf	LTFJ	abroad	
723323290	EDDL	Duesseldorf	LTFJ	abroad	
723385900	EDDL	Duesseldorf	LTFJ	abroad	
723393140	EDDL	Duesseldorf	LTFJ	abroad	
723348060	EDDL	Duesseldorf	LTFM	NULL	
723404940	EDDL	Duesseldorf	LTFM	NULL	
723357310	EDDL	Duesseldorf	OMDB	abroad	
723353430	EDDL	Duesseldorf	OTHH	NULL	
723382480	EDDL	Duesseldorf	UDYZ	abroad	
723290740	EDDL	Duesseldorf	UGTB	abroad	
723297240	EDDM	abroad	EDDL	Duesseldorf	
723297241	EDDM	abroad	EDDL	Duesseldorf	
723312440	EDDM	abroad	EDDL	Duesseldorf	
723312441	EDDM	abroad	EDDL	Duesseldorf	
723361870	EDDM	abroad	EDDL	Duesseldorf	
